date,headline
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/21/2021"
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/19/2021"
2021-01-01,"Transcript: The 11th Hour with Brian Williams, 1/18/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/22/2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/21/2021"
2021-01-01,QAnon and other pro-Trump conspiracy theorists are Biden's problem now
2021-01-01,"Friday's Mini-Report, 1.22.21"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/22/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/22/21"
2021-01-01,"Transcript: The ReidOut, 1/22/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/22/21"
2021-01-01,"In a healthy system, 'unity' is about the how, not the what"
2021-01-01,Stage set for Trump's second Senate impeachment trial
2021-01-01,The right-wing Christian movement shouldn't control the abortion narrative
2021-01-01,The spotlight turns to the future of the Senate's filibuster rule
2021-01-01,"Host reminds GOP lawmaker, 'I'm not stereotyping; I'm counting'"
2021-01-01,Trump may have made one thing 'great' after all: the Democratic Party
2021-01-01,"On Biden's first full day, Republicans embrace Party of No posture"
2021-01-01,Rep facing investigation after trying to bring gun onto House floor
2021-01-01,"Hawley, Cruz face new ethics complaint filed by 7 Senate Dems"
2021-01-01,Biden's pandemic plan has me daring to feel hopeful about Covid-19
2021-01-01,"Thursday's Mini-Report, 1.21.21"
2021-01-01,Transcript: Fighting White Supremacy on Day One
2021-01-01,"Transcript: The Rachel Maddow Show, 1/21/2021"
2021-01-01,GOP's Kevin McCarthy plays fast and loose with recent events
2021-01-01,"Transcript: All In with Chris Hayes, 1/21/21"
2021-01-01,"Transcript: The ReidOut, 1/21/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/21/21"
2021-01-01,The FBI warned Congress about 'domestic terrorism.' Why didn't anyone listen?
2021-01-01,Team Biden says Trump's COVID plan was worse than they realized
2021-01-01,"Thursday's Campaign Round-Up, 1.21.21"
2021-01-01,"Unemployment claims improve, but remain painfully high"
2021-01-01,Muslims like me know the evil power of Trump's dead 'Muslim ban'
2021-01-01,Rand Paul outraged by the wrong part of Biden's inaugural address
2021-01-01,5 Covid-19 vaccine scams to watch out for
2021-01-01,What we learned from Team Biden's first Senate confirmation vote
2021-01-01,International sighs of relief as Biden settles into White House
2021-01-01,Fighting White Supremacy on Day One
2021-01-01,Inauguration Day features layers of historical breakthroughs
2021-01-01,"On day one, Biden wastes no time righting some of Trump's wrongs"
2021-01-01,"For democracy to survive, the Senate filibuster must die"
2021-01-01,"Wednesday's Mini-Report, 1.20.21"
2021-01-01,"'Masterful, tasteful, inclusive': See the Inauguration styles of First Lady Jill Biden, VP Kamala Harris, former First Lady Michelle Obama"
2021-01-01,Transcript: Carrie Hessler-Radelet: Choose Optimism
2021-01-01,"In address, President Biden declares, 'Democracy has prevailed'"
2021-01-01,A tale of two covers: Why the difference between Kamala Harris and Cori Bush matters
2021-01-01,The one label Trump was desperate to avoid becomes unavoidable
2021-01-01,Trump secures his place as the nation's worst ever president
2021-01-01,Carrie Hessler-Radelet: Choose Optimism
2021-01-01,"In farewell address, Trump describes an unrecognizable term"
2021-01-01,"In the middle of the night, Trump takes step to refill the swamp"
2021-01-01,The thematic perfection of Trump's 11th-hour pardon for Bannon
2021-01-01,"The Trump administration's thinly-veiled rebuke of 'The 1619 Project' is a sloppy, racist mess"
2021-01-01,Biden's inauguration starts the clock for Democrats to go big
2021-01-01,"Transcript: The ReidOut, 1/19/21"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/19/21"
2021-01-01,"On Inauguration Day, let no one steal the greatness of this moment away from you: Lauren Leader"
2021-01-01,"Tuesday's Mini-Report, 1.19.21"
2021-01-01,This is Tiffany Cross' Know Your Value moment
2021-01-01,"On his way out, Pompeo denounces multiculturalism in the U.S."
2021-01-01,"Transcript: The Rachel Maddow Show, 1/19/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/19/21"
2021-01-01,How Meena Harris is reclaiming the word 'ambitious'
2021-01-01,"'Collaborate, don't duplicate': How Black women's groups helped deliver the election to Biden, Harris"
2021-01-01,"McConnell: Capitol rioters were 'provoked' by Trump, 'fed lies'"
2021-01-01,Why it matters that Trump's pollution plan just got upended in court
2021-01-01,"Comparing BLM marches to the Capitol riots ignores history, and truth"
2021-01-01,"Tuesday's Campaign Round-Up, 1.19.21"
2021-01-01,"As Dems prepare to govern, bolstering democracy is a top priority"
2021-01-01,Joe Biden to take office with an empty cabinet
2021-01-01,An elections-have-consequences moment for regulating Wall Street
2021-01-01,Why Trump's '1776 Commission' is such an unfortunate mess
2021-01-01,Even Kevin McCarthy can't escape Trump's 11th-hour wrath
2021-01-01,Senate Democrats can shape Trump's second impeachment trial however they want
2021-01-01,"Transcript: The ReidOut, 1/18/2021"
2021-01-01,"Transcript: The Beat with Ari Melber, 1/18/21"
2021-01-01,"Monday's Mini-Report, 1.18.21"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, 1/18/2021"
2021-01-01,"Transcript: The Rachel Maddow Show, 1/18/2021"
2021-01-01,"Transcript: All In with Chris Hayes, 1/18/21"
2021-01-01,From Coretta Scott King to Ella Baker: These women's ideas were key to MLK's work
2021-01-01,"As impeachment trial nears, Trump has no legal defense team"
2021-01-01,"Monday's Campaign Round-Up, 1.18.21"
2021-01-01,"As the NRA relocates, it also seeks bankruptcy protection"
2021-01-01,"After election antics in Georgia, Trump faces possible criminal probe"
2021-01-01,"As Trump's deadline nears, monied interests seek access for pardons"
2021-01-01,Why did Team Trump vow to release non-existent vaccine supplies?
2021-01-01,Republican operative being installed as the NSA's top lawyer
2021-01-01,Calls increase to cut off Trump's access to sensitive intelligence
2021-01-01,Social justice and impeachment: Thaddeus Stevens was a trailblazer for both
2021-01-01,MLK's college friend reflects on 'Martin': 'He will never die as long as there's a Black person alive'
2021-01-01,Corporations need to treat climate deniers like Trump's election deniers
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 15, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 15, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 15, 2021"
2021-01-01,"Transcript: All In with Chris Hayes, January 15, 2021"
2021-01-01,"Transcript: The ReidOut, January 15, 2021"
2021-01-01,"Transcript: The Beat with Ari Melber, January 15, 2021"
2021-01-01,"Friday's Mini-Report, 1.15.21"
2021-01-01,Capitol Police examining whether lawmakers assisted rioters
2021-01-01,Why Mike Pence's (long overdue) call to Kamala Harris matters
2021-01-01,Finding spirit and strength amidst a plague: Mika on taking care of an aging parent during Covid-19
2021-01-01,Why the disagreement between Reps. Boebert and Maloney matters
2021-01-01,"Friday's Campaign Round-Up, 1.15.21"
2021-01-01,The words Trump's most radical followers should (but won't) hear
2021-01-01,"Just in time, Trump and Steve Bannon reportedly reconcile"
2021-01-01,6 tips for talking to your kids when the news gets scary
2021-01-01,Transcript: American Coup
2021-01-01,Trump ends his presidency like he began it: scapegoating people of color
2021-01-01,A familiar problem: Trump struggles to find a legal defense team
2021-01-01,Did Alabama's Tuberville suggest delaying Biden's inauguration?
2021-01-01,GOP's Murkowski describes Trump's actions as 'unlawful'
2021-01-01,What Biden's economic relief plan gets right (and how it might pass)
2021-01-01,Sea Shanty TikTok is the perfect expression of masculinity for 2021
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 14, 2021"
